2,3,Party,Votes,Round,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,8,R-12,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,9,R-13,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,10,R-14,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,14,R-15,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,3,R-16,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,0,R-17,,,,,,,
RAMESHAN K,Udma,Independent,3,R-1,,,,,,,
RAMESHAN K,Udma,Independent,8,R-2,,,,,,,
RAMESHAN K,Udma,Independent,2,R-3,,,,,,,
RAMESHAN K,Udma,Independent,14,R-4,,,,,,,
RAMESHAN K,Udma,Independent,9,R-5,,,,,,,
RAMESHAN K,Udma,Independent,13,R-6,,,,,,,
RAMESHAN K,Udma,Independent,17,R-7,,,,,,,
RAMESHAN K,Udma,Independent,6,R-8,,,,,,,
RAMESHAN K,Udma,Independent,8,R-9,,,,,,,
RAMESHAN K,Udma,Independent,3,R-10,,,,,,,
RAMESHAN K,Udma,Independent,7,R-11,,,,,,,
RAMESHAN K,Udma,Independent,21,R-12,,,,,,,
RAMESHAN K,Udma,Independent,9,R-13,,,,,,,
RAMESHAN K,Udma,Independent,4,R-14,,,,,,,
RAMESHAN K,Udma,Independent,65,R-15,,,,,,,
RAMESHAN K,Udma,Independent,11,R-16,,,,,,,
RAMESHAN K,Udma,Independent,4,R-17,,,,,,,
NOTA,Udma,None of the Above,25,R-1,,,,,,,
NOTA,Udma,None of the Above,19,R-2,,,,,,,
NOTA,Udma,None of the Above,17,R-3,,,,,,,
NOTA,Udma,None of the Above,43,R-4,,,,,,,
NOTA,Udma,None of the Above,31,R-5,,,,,,,
NOTA,Udma,None of the Above,28,R-6,,,,,,,
NOTA,Udma,None of the Above,30,R-7,,,,,,,
NOTA,Udma,None of the Above,29,R-8,,,,,,,
NOTA,Udma,None of the Above,24,R-9,,,,,,,
NOTA,Udma,None of the Above,23,R-10,,,,,,,
NOTA,Udma,None of the Above,17,R-11,,,,,,,
NOTA,Udma,None of the Above,25,R-12,,,,,,,
NOTA,Udma,None of the Above,29,R-13,,,,,,,
NOTA,Udma,None of the Above,33,R-14,,,,,,,
NOTA,Udma,None of the Above,32,R-15,,,,,,,
NOTA,Udma,None of the Above,16,R-16,,,,,,,
NOTA,Udma,None of the Above,9,R-17,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,5285,R-1,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4150,R-2,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,5553,R-3,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,6875,R-4,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,5388,R-5,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4857,R-6,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4856,R-7,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4197,R-8,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4289,R-9,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,3802,R-10,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,3245,R-11,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,3908,R-12,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4312,R-13,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4167,R-14,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4795,R-15,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,6038,R-16,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,4912,R-17,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,1213,R-18,,,,,,,
E CHANDRASHEKARAN,Kanhangad,Communist Party of India,347,R-19,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1004,R-1,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1400,R-2,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1154,R-3,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,2478,R-4,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1667,R-5,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1121,R-6,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,846,R-7,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1643,R-8,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,925,R-9,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,693,R-10,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,658,R-11,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1749,R-12,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1681,R-13,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,1424,R-14,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,965,R-15,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,807,R-16,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,585,R-17,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,284,R-18,,,,,,,
BALRAJ,Kanhangad,Bharatiya Janata Party,35,R-19,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,2866,R-1,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3917,R-2,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3105,R-3,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,1275,R-4,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,1661,R-5,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,2789,R-6,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3415,R-7,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3515,R-8,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3487,R-9,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3503,R-10,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,4553,R-11,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3399,R-12,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3591,R-13,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3867,R-14,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,4347,R-15,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,3735,R-16,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,2329,R-17,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,663,R-18,,,,,,,
P V SURESH,Kanhangad,Indian National Congress,95,R-19,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,30,R-1,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,56,R-2,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,55,R-3,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,9,R-4,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,14,R-5,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,42,R-6,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,107,R-7,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,15,R-8,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,17,R-9,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,35,R-10,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,37,R-11,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,59,R-12,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,89,R-13,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,68,R-14,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,89,R-15,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,39,R-16,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,7,R-17,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,6,R-18,,,,,,,
ABDUL SAMAD. T S/o T KUNHAMU HAJI,Kanhangad,SOCIAL DEMOCRATIC PARTY OF INDIA,0,R-19,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),7,R-1,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),1,R-2,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),2,R-3,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),8,R-4,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),6,R-5,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),7,R-6,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),7,R-7,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),4,R-8,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),6,R-9,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),5,R-10,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),3,R-11,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),3,R-12,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),7,R-13,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),6,R-14,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),6,R-15,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),5,R-16,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),3,R-17,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),0,R-18,,,,,,,
T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Kanhangad,Janata Dal (United),0,R-19,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,2,R-1,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,7,R-2,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,5,R-3,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,6,R-4,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,12,R-5,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,10,R-6,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,13,R-7,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,32,R-8,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,10,R-9,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,24,R-10,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,13,R-11,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,10,R-12,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,5,R-13,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,7,R-14,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,8,R-15,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,9,R-16,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,6,R-17,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,2,R-18,,,,,,,
RESHMA KARIVEDAKAM,Kanhangad,Anna Democratic Human Rights Movement Party of India,0,R-19,,,,,,,
AUGUSTIN,Kanhangad,Independent,4,R-1,,,,,,,
AUGUSTIN,Kanhangad,Independent,6,R-2,,,,,,,
AUGUSTIN,Kanhangad,Independent,13,R-3,,,,,,,
AUGUSTIN,Kanhangad,Independent,7,R-4,,,,,,,
AUGUSTIN,Kanhangad,Independent,49,R-5,,,,,,,
AUGUSTIN,Kanhangad,Independent,35,R-6,,,,,,,
AUGUSTIN,Kanhangad,Independent,56,R-7,,,,,,,
AUGUSTIN,Kanhangad,Independent,29,R-8,,,,,,,
AUGUSTIN,Kanhangad,Independent,28,R-9,,,,,,,
AUGUSTIN,Kanhangad,Independent,67,R-10,,,,,,,
AUGUSTIN,Kanhangad,Independent,106,R-11,,,,,,,
AUGUSTIN,Kanhangad,Independent,28,R-12,,,,,,,
AUGUSTIN,Kanhangad,Independent,16,R-13,,,,,,,
AUGUSTIN,Kanhangad,Independent,4,R-14,,,,,,,
AUGUSTIN,Kanhangad,Independent,10,R-15,,,,,,,
AUGUSTIN,Kanhangad,Independent,17,R-16,,,,,,,
AUGUSTIN,Kanhangad,Independent,17,R-17,,,,,,,
AUGUSTIN,Kanhangad,Independent,2,R-18,,,,,,,
AUGUSTIN,Kanhangad,Independent,1,R-19,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,0,R-1,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,1,R-2,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,8,R-3,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,8,R-4,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,19,R-5,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,47,R-6,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,38,R-7,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,28,R-8,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,27,R-9,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,30,R-10,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,67,R-11,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,11,R-12,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,4,R-13,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,6,R-14,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,14,R-15,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,9,R-16,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,29,R-17,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,1,R-18,,,,,,,
KRISHNAN PARAPPACHAL,Kanhangad,Independent,0,R-19,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-1,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,1,R-2,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-3,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-4,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,6,R-5,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,10,R-6,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,14,R-7,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-8,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-9,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,4,R-10,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,8,R-11,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,8,R-12,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-13,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,5,R-14,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,7,R-15,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,6,R-16,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-17,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,3,R-18,,,,,,,
MANOJ THOMAS,Kanhangad,Independent,0,R-19,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,3,R-1,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,12,R-2,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,9,R-3,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,16,R-4,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,5,R-5,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,11,R-6,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,20,R-7,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,15,R-8,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,15,R-9,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,14,R-10,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,15,R-11,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,13,R-12,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,12,R-13,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,12,R-14,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,19,R-15,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,11,R-16,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,13,R-17,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,3,R-18,,,,,,,
SREENATH SASI. T C V,Kanhangad,Independent,0,R-19,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,5,R-1,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,8,R-2,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,9,R-3,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,9,R-4,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,16,R-5,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,22,R-6,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,19,R-7,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,30,R-8,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,24,R-9,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,32,R-10,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,20,R-11,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,18,R-12,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,11,R-13,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,9,R-14,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,16,R-15,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,12,R-16,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,14,R-17,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,2,R-18,,,,,,,
SURESH. B C S/o CHENIYAN NAIK,Kanhangad,Independent,0,R-19,,,,,,,
NOTA,Kanhangad,None of the Above,10,R-1,,,,,,,
NOTA,Kanhangad,None of the Above,22,R-2,,,,,,,
NOTA,Kanhangad,None of the Above,37,R-3,,,,,,,
NOTA,Kanhangad,None of the Above,48,R-4,,,,,,,
NOTA,Kanhangad,None of the Above,53,R-5,,,,,,,
NOTA,Kanhangad,None of the Above,34,R-6,,,,,,,
NOTA,Kanhangad,None of the Above,33,R-7,,,,,,,
NOTA,Kanhangad,None of the Above,34,R-8,,,,,,,
NOTA,Kanhangad,None of the Above,29,R-9,,,,,,,
NOTA,Kanhangad,None of the Above,39,R-10,,,,,,,
NOTA,Kanhangad,None of the Above,44,R-11,,,,,,,
NOTA,Kanhangad,None of the Above,59,R-12,,,,,,,
NOTA,Kanhangad,None of the Above,38,R-13,,,,,,,
NOTA,Kanhangad,None of the Above,31,R-14,,,,,,,
NOTA,Kanhangad,None of the Above,31,R-15,,,,,,,
NOTA,Kanhangad,None of the Above,47,R-16,,,,,,,
NOTA,Kanhangad,None of the Above,21,R-17,,,,,,,
NOTA,Kanhangad,None of the Above,10,R-18,,,,,,,
NOTA,Kanhangad,None of the Above,0,R-19,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),4046,R-1,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),5476,R-2,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),8542,R-3,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),5926,R-4,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),5396,R-5,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),4497,R-6,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),3994,R-7,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),4330,R-8,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),6039,R-9,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),7032,R-10,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),7495,R-11,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),6886,R-12,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),4387,R-13,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),3336,R-14,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),4051,R-15,,,,,,,
M RAJAGOPALAN,Trikaripur,Communist Party of India (Marxist),1123,R-16,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,1374,R-1,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,1047,R-2,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,809,R-3,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,463,R-4,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,427,R-5,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,560,R-6,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,334,R-7,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,283,R-8,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,646,R-9,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,677,R-10,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,650,R-11,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,534,R-12,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,725,R-13,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,1015,R-14,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,834,R-15,,,,,,,
SHIBIN T V,Trikaripur,Bharatiya Janata Party,243,R-16,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,4264,R-1,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,3253,R-2,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,1460,R-3,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,2861,R-4,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,3351,R-5,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,5151,R-6,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,3971,R-7,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,4951,R-8,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,3400,R-9,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,2749,R-10,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,3091,R-11,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,4169,R-12,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,4411,R-13,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,4564,R-14,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,4700,R-15,,,,,,,
M P JOSEPH,Trikaripur,Kerala Congress,1854,R-16,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,38,R-1,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,25,R-2,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,17,R-3,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,33,R-4,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,33,R-5,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,23,R-6,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,16,R-7,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,34,R-8,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,46,R-9,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,30,R-10,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,99,R-11,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,83,R-12,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,132,R-13,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,70,R-14,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,75,R-15,,,,,,,
T MAHESH MASTER,Trikaripur,Welfare Party Of India,45,R-16,,,,,,,
